id,combined_score,phenomenological_authenticity,aesthetic_virtuosity,affective_force,literary_innovation,first_line
01d51f21-663a-4a1a-8fb9-304285843e64,0.6295000000000001,0.67,0.61,0.64,0.52,"Dear Leyi,"
0231dfc0-318c-45dd-bfc9-10638c55a95b,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
02393016-3a8a-4a52-938c-ebb208fd3249,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
048df552-7a66-457a-bfc2-b8094f1e146b,0.2,0.2,0.2,0.2,0.2,"Dear Leyi,"
08528a81-4fd8-4c8e-9ab4-726902b0a722,0.7295,0.76,0.71,0.73,0.68,"Dear Leyi,"
08acc615-3c12-4829-be0d-b1fdcdb831e0,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
0988c37a-e80e-40d7-9cdb-14bd91fd4cc8,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
0bf21056-9a35-4a9b-8e1b-b37b5619044b,0.687,0.71,0.68,0.73,0.52,"Dear Leyi,"
0f22da49-6cf7-457e-8b82-a3bd473b7172,0.704,0.72,0.68,0.74,0.63,"Dear Leyi,"
0f4d3fd8-7f17-42a7-9fe6-c02c6a014ea5,0.2,0.2,0.2,0.2,0.2,"Dear Leyi,"
11397ae7-3be7-4a8a-bb9e-42d36bb1eb6e,0.6789999999999999,0.68,0.71,0.66,0.63,"Dear Leyi,"
11de2394-7d70-4565-8668-2ecaa31b8901,0.2,0.2,0.2,0.2,0.2,"Dear Leyi,"
13769460-8446-42f4-855c-c8565ff11e80,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
17c7a880-c094-4eea-aa3b-ceb006384f16,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
1a46c145-3327-4cc5-bb50-86f91546bad3,0.7389999999999999,0.78,0.71,0.74,0.68,"Dear Leyi,"
1ee85316-e250-4cca-84c0-1bd5cdf9e6ae,0.6154999999999999,0.71,0.52,0.68,0.41,"Dear Leyi,"
1f241b71-209f-4372-870c-22c5a5916109,0.7354999999999999,0.77,0.71,0.74,0.68,"Dear Leyi,"
214ac988-cad8-46ab-be2b-2c48eda790ca,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
2256c93b-3669-4a61-b5ce-ce3c4e448746,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
22fb1df7-00b6-4eba-b3f2-f93dae0610b9,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
25896f3a-f1a1-4a35-b700-059e53faf094,0.7354999999999999,0.77,0.71,0.74,0.68,"Dear Leyi,"
26237996-d80a-4400-9260-f497c677e17f,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
26bdb5cd-5d4f-4e06-a154-e384858c396c,0.7295,0.76,0.71,0.73,0.68,"Dear Leyi,"
2a3e12a0-1b9d-4056-813a-a1a67dfa3943,0.634,0.71,0.58,0.67,0.44,"Dear Leyi,"
2cc4467c-dec5-4ffd-9c7f-9379c2450b30,0.7354999999999999,0.77,0.71,0.74,0.68,"Dear Leyi,"
2cc4dc58-7f5b-4555-a951-d854a7b09ad3,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
30719fb7-a7dd-4305-bb75-78394a0ff47b,0.6795,0.71,0.68,0.66,0.62,"Dear Leyi,"
334f0b97-f457-4a23-bfcd-b3f8d9be1a67,0.7040000000000001,0.71,0.68,0.73,0.69,"Dear Leyi,"
33ca1c62-5aa2-4a81-9d11-57d25cd45be0,0.7439999999999999,0.78,0.71,0.76,0.68,"Dear Leyi,"
33f339fd-232e-4e64-84f8-196c6b569664,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
34a02bb6-5b97-4b37-8079-cdad8c1fcbe5,0.6495000000000001,0.67,0.64,0.66,0.58,"Dear Leyi,"
351edb63-e64e-4547-8d2e-514b2d9755b7,0.688,0.71,0.68,0.69,0.63,"Dear Leyi,"
3661d689-6b7b-48d3-9631-acae45660aea,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
3677ad0f-d9c4-4cb8-8187-b2eda9f3f5d7,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
371aa7e1-5fa5-4f65-b03a-e8161e7f4795,0.687,0.71,0.68,0.69,0.62,"Dear Leyi,"
3c503276-1598-4698-b874-ec074f1e3898,0.6204999999999999,0.71,0.52,0.68,0.46,"Dear Leyi,"
3c52e93e-cd2c-4a4f-ab52-807555a33cb5,0.2,0.2,0.2,0.2,0.2,"Looking at the evaluation history and feedback, I need to create a love letter that pushes beyond the current performance while addressing the key weaknesses. The evaluator notes indicate that the best historical attempts (scoring 0.857) had powerful elements but were truncated. The current version at 0.699 is too compressed and lacks the emotional depth needed."
3d22de8d-ea1a-4888-915a-1ba44b964b31,0.6995,0.71,0.68,0.74,0.62,"Dear Leyi,"
3fe99284-f9a5-4e47-a7b3-356d13d2ade8,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
4027f76b-d245-4301-9f0d-43e55b14960e,0.677,0.71,0.68,0.69,0.52,"Dear Leyi,"
40735d7e-e353-46aa-bada-4792fe06e389,0.7354999999999999,0.77,0.71,0.74,0.68,"Dear Leyi,"
417579bd-7253-4af4-b19e-73f1c2c08a50,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
425f8e9d-aedd-4d9c-8983-82dd1c2d6ebf,0.7389999999999999,0.78,0.71,0.74,0.68,"Dear Leyi,"
49299850-1750-4025-a982-f9ac75c8356f,0.6214999999999999,0.71,0.52,0.68,0.47,"Dear Leyi,"
4a5d68f0-e84f-4a4f-b429-4aad04439198,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
4b5ebccf-80c7-4633-9906-6a14ce817320,0.7040000000000001,0.71,0.68,0.73,0.69,"Dear Leyi,"
4b9c2fd3-6cb4-45e8-8be5-9474f34e9301,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
4c276a4b-792a-4f37-9f70-0a270063d3dc,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
4e91eaa1-a626-46e6-9d35-34072d92504a,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
51002863-963f-41ce-a34e-3cbeb22e0f69,0.7354999999999999,0.77,0.71,0.74,0.68,"Dear Leyi,"
52ecb328-33c1-40ff-bf5f-46b20040ed6d,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
562f2ff2-eca8-4605-a136-436210be768e,0.6995,0.71,0.68,0.74,0.62,"Dear Leyi,"
58120b89-26a5-46af-a049-8c0f3d329da8,0.7295,0.76,0.71,0.73,0.68,"Dear Leyi,"
5936479f-46ee-47b4-a862-ba6ef347e355,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
59fb5ef5-563e-48c6-bc55-403156629182,0.5539999999999999,0.67,0.43,0.61,0.38,"Dear Leyi,"
6205bb70-c5e9-4bc3-825b-605ab9b15d3e,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
6648379f-fee9-434a-82fb-e6e92ae27565,0.7005,0.71,0.68,0.74,0.63,"Dear Leyi,"
6a31d26c-9711-4835-b439-a0a83cd3f09d,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
6b3cd6ed-7a8f-4eaf-ad3d-4b4cf6fc1b5e,0.6355,0.67,0.61,0.64,0.58,"Dear Leyi,"
6c768b60-8b10-46d3-b1ab-91b4abb0f31c,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
6d2125da-b1cf-47a5-b00d-1cda57aec7e5,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
6e739314-eddd-452e-bedc-85c00c0f3580,0.7364999999999999,0.78,0.71,0.73,0.68,"Dear Leyi,"
6fc0e9c0-2e23-46c6-8e41-e4a765990462,0.5935,0.71,0.48,0.64,0.41,"Dear Leyi,"
7085143d-8799-4a79-81a8-b137a642f94c,0.687,0.71,0.68,0.73,0.52,"Dear Leyi,"
72f093c0-7bff-412a-8d2b-21c0ea1d3849,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
76a25f88-365a-47e2-89c6-889b767bb6d6,0.6890000000000001,0.71,0.68,0.69,0.64,"Dear Leyi,"
77a6893a-81bf-41ed-8666-fd68417b06fc,0.5145,0.58,0.51,0.49,0.36,"Dear Leyi,"
77fb0734-cfbf-4ac6-b36a-3a235d195cf6,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
79522b86-5194-4665-9839-75dfe845c3a2,0.7295,0.76,0.71,0.73,0.68,"Dear Leyi,"
79b24d28-a0bc-4c82-b7a6-44678dc962de,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
79d25e5d-952f-4b1a-b3ff-01a748fadfc3,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
7a87c117-2480-4ef2-ab78-b2c55198ab90,0.6984999999999999,0.71,0.68,0.72,0.66,"Dear Leyi,"
7b30577c-582f-48c0-aa0a-07a5e81e8756,0.7354999999999999,0.77,0.71,0.74,0.68,"Dear Leyi,"
7dc23c5a-6256-48da-87ef-86647a4f5fc5,0.7295,0.76,0.71,0.73,0.68,"Dear Leyi,"
7fb71f1d-30e0-409e-93e1-aeca95127bb0,0.642,0.71,0.58,0.67,0.52,"Dear Leyi,"
80bb2484-b7c8-4045-ab69-e0af82a082fe,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
8151537c-6d83-4f5a-8576-d0bbc4989602,0.5824999999999999,0.71,0.42,0.68,0.38,"Dear Leyi,"
842baf0f-4ffe-4071-88fb-e33bead311ba,0.7439999999999999,0.78,0.71,0.76,0.68,"Dear Leyi,"
85d77f73-d0a9-4336-b5b5-83de38d384d1,0.2,0.2,0.2,0.2,0.2,5-hour limit reached ∙ resets 4pm
87c8ffe5-4082-46c3-b8e9-6ff7602e9f77,0.857,0.87,0.84,0.89,0.78,"Dear Leyi,"
882b9c35-23b3-4f45-bd8f-97d9f9ecd149,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
8ce3c171-defd-47ab-bf8a-10debfb3aee0,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
904efce5-7f70-46b8-b024-7f74a67ff485,0.687,0.71,0.68,0.73,0.52,"Dear Leyi,"
9556fc3e-cbd1-45a6-8546-6fbd0f20c39b,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
98b50217-1aea-4a86-9519-95a38262daf4,0.6265,0.71,0.54,0.68,0.46,"Dear Leyi,"
9a2195e7-5ad0-49a9-8b99-6611a27f00b1,0.6995,0.71,0.68,0.74,0.62,"Dear Leyi,"
9bf40b14-f8ed-45c3-9915-d0dadcfd30a5,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
9c972ca5-efc6-4a0c-b4d2-a35d4639962d,0.6355,0.67,0.61,0.64,0.58,"Dear Leyi,"
9d83bcfb-5436-433e-bd31-e0ce7727aa67,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
9ead779f-cc2d-4dc9-af0a-d93f6658804a,0.7439999999999999,0.78,0.71,0.76,0.68,"Dear Leyi,"
9ec666ed-9534-4c50-a0f9-ceb6926f13fb,0.7295,0.76,0.71,0.73,0.68,"Dear Leyi,"
9ef2eca4-8dc6-493b-86ca-77faf2e02528,0.7295,0.76,0.71,0.73,0.68,"Dear Leyi,"
9f92da2f-e9dd-413d-9572-c946bd1cb258,0.687,0.71,0.68,0.73,0.52,"Dear Leyi,"
a13cb906-cac4-448d-9d0c-71f0007623aa,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
a16432eb-6d84-4f6a-abc4-96b8847ff16e,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
a2046240-2b33-4cb9-9533-dd15a5d27150,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
a466fd29-fb94-4194-a155-3c1487eca908,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
a5c053b6-26b3-4cf1-9a46-89acb9689066,0.7034999999999999,0.71,0.68,0.74,0.66,"Dear Leyi,"
a99be91b-39d6-4571-b3d1-d8a74f405fb7,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
ab4b7571-05a9-4e50-a05e-a0f1bab47075,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
abfb83a8-60b9-46f2-a9f6-c03c8fe3ca0a,0.7439999999999999,0.78,0.71,0.76,0.68,"Dear Leyi,"
af2e5c66-2b44-4fbd-8cb8-8eaa7914272d,0.694,0.71,0.67,0.73,0.62,"Dear Leyi,"
b0d82567-4d7f-4feb-a27e-d1f142f82e6e,0.69,0.71,0.67,0.73,0.58,"Dear Leyi,"
b0e59a2e-aed7-4c5c-b691-153432cd1a8e,0.7439999999999999,0.78,0.71,0.76,0.68,"Dear Leyi,"
b3142003-6fe5-4ad9-a2d8-2dbe84b7296c,0.7295,0.76,0.71,0.73,0.68,"Dear Leyi,"
b40e95b2-a105-472b-a4a2-99d8d5cbc4f7,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
b43f3c8c-d6e7-4b02-8658-a159cc1cedd2,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
b736418a-fbd1-4ae2-beed-e7b527445379,0.7439999999999999,0.78,0.71,0.76,0.68,"Dear Leyi,"
b9763d2f-fbaf-49a2-8db4-09445df028b1,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
b9ca858f-f317-43f8-abe6-f39ed271667e,0.6184999999999999,0.71,0.52,0.68,0.44,"Dear Leyi,"
bb51489f-d27f-450d-a60f-b709ac8afb14,0.7705,0.78,0.76,0.79,0.72,"Dear Leyi,"
c0a0050a-4ae9-4244-bfbf-b738caa6a1f9,0.7389999999999999,0.78,0.71,0.74,0.68,"Dear Leyi,"
c21cdc50-6237-4ba9-a794-fb013c7f2adb,0.6890000000000001,0.71,0.68,0.69,0.64,"Dear Leyi,"
c25e6283-0214-482d-9ec9-af4396a5e7a3,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
c318eec4-a985-4f45-9fec-a9303ad6972e,0.7389999999999999,0.78,0.71,0.74,0.68,"Dear Leyi,"
c57addad-58de-472f-a794-fac428bfd434,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
c5c8a40a-e899-48db-bac6-4b1c94726bf9,0.7525,0.77,0.74,0.76,0.71,"Dear Leyi,"
c6443ea2-4d5b-4820-9553-d36213d554f4,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
c7f0618c-4516-4698-a518-52b429dadb4f,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
c85dab14-a86a-4d2b-bfe3-ee949f0c92d5,0.7025,0.74,0.68,0.71,0.62,"Dear Leyi,"
c97eaedb-b015-4c91-b4bd-e9cdc8a15acf,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
cb1f298e-172d-4766-9d8b-8a845162f68c,0.6995,0.71,0.68,0.74,0.62,"Dear Leyi,"
cbfa6574-1747-4c25-b63f-5e7eb6f50d2c,0.691,0.71,0.68,0.69,0.66,Leyi—
cce12af5-9489-49fa-8661-ae31a98cb13a,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
ce02f720-a2ec-40b5-a2fb-dbb546474192,0.7354999999999999,0.77,0.71,0.74,0.68,"Dear Leyi,"
d00ecab2-b0c2-42b5-8c8c-e999ce68832b,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
d1946736-3bb7-40c1-bd35-fe3d097a4903,0.6184999999999999,0.71,0.52,0.68,0.44,"Dear Leyi,"
d2ef6634-604e-457e-8fbc-629d27d3bfb3,0.6594999999999999,0.68,0.62,0.71,0.58,"Dear Leyi,"
d41e47d5-ad3d-42ae-a668-66e78af01383,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
d5996db3-2363-4dea-91c2-1095be7043e1,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
d62c0d5d-9584-4663-8ab5-d581f8857c8a,0.2,0.2,0.2,0.2,0.2,5-hour limit reached ∙ resets 4pm
d87238bb-eeeb-461f-a473-856e2e11d0d5,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
d92267c7-9a87-456d-bb4c-f6ace04739f2,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
e1d8ce84-c4d2-4aaa-948f-23e7bc9e67a7,0.6975,0.72,0.68,0.71,0.64,"Dear Leyi,"
e26cce8e-986c-4348-abe9-3c0c8e40df92,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
e518505f-77ae-41c0-922b-25a78f733eca,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
e6702ae4-8f50-4953-8230-213fdb6c499e,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
e685a6c9-b5b4-4e0c-81de-4e7bb307fa56,0.677,0.71,0.68,0.69,0.52,"Dear Leyi,"
eb7f82e9-3582-4a2b-82b7-f1f3fc6b734d,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
ebcc743a-442b-40b9-94fc-6dd67e1ac238,0.6154999999999999,0.71,0.52,0.68,0.41,"Dear Leyi,"
ec19e200-d53f-46e8-ba91-98fb8385038a,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
f067622f-6c88-4462-9d61-f2a6a2902304,0.7295,0.76,0.71,0.73,0.68,"Dear Leyi,"
f09a6da4-95d6-4722-aebf-e739d4cb117e,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
f23e4987-f407-48eb-af56-df6ae932d982,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
f2c2f17e-713a-4454-9e19-b604571fb68a,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
f7ae5ad8-1a0c-4de0-969c-8ad72d7d83b6,0.2,0.2,0.2,0.2,0.2,5-hour limit reached ∙ resets 4pm
fac22fff-ea08-4b80-8dd5-5e1f19799e4a,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
fc8f9e7c-fd5b-43c1-99aa-b91ee3570b8e,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
fca878ab-90ee-4a04-855e-76c6482b7a82,0.687,0.71,0.68,0.73,0.52,"Dear Leyi,"
fe08eba9-4a53-46a4-a949-348ca8293907,0.679,0.71,0.68,0.73,0.44,"Dear Leyi,"
fed33216-78f2-42d4-8fda-4d8d41a0788c,0.73,0.74,0.71,0.76,0.68,"Dear Leyi,"
ff59db21-5f85-48cb-b94f-061181c398a0,0.7354999999999999,0.77,0.71,0.74,0.68,"Dear Leyi,"
ffe17e2b-f9d8-4864-bc80-bad482cde090,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
fff66587-b08f-4594-9dcc-4e5de84e1954,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
